data:983.23,984.09,252.98,245.65
data:983.23,984.09,252.98,245.65
data:983.23,984.09,252.98,245.65
data:983.23,984.14,252.98,245.22
data:983.24,984.12,252.90,245.39
data:983.24,984.12,252.90,245.39
data:983.25,984.11,252.81,245.48
data:983.23,984.09,252.98,245.65
data:983.24,984.09,252.90,245.65
data:983.25,984.12,252.81,245.39
data:983.24,984.12,252.90,245.39
data:983.25,984.14,252.81,245.22
data:983.23,984.17,252.98,244.97
data:983.25,984.17,252.81,244.97
data:983.25,984.09,252.81,245.65
data:983.24,984.09,252.90,245.65
data:983.24,984.09,252.90,245.65
data:983.24,984.03,252.90,246.16
data:983.24,984.03,252.90,246.16
data:983.25,984.11,252.81,245.48
data:983.24,984.11,252.90,245.48
data:983.24,984.12,252.90,245.39
data:983.25,984.12,252.81,245.39
data:983.25,984.12,252.81,245.39
data:983.23,984.12,252.98,245.39
data:983.25,984.12,252.81,245.39
data:983.24,984.06,252.90,245.91
data:983.23,984.06,252.98,245.91
data:983.22,984.06,253.07,245.91
data:983.24,984.09,252.90,245.65
data:983.23,984.09,252.98,245.65
data:983.24,984.01,252.90,246.33
data:983.24,984.09,252.90,245.65
data:983.22,984.09,253.07,245.65
data:983.21,984.06,253.15,245.91
data:983.21,984.06,253.15,245.91
data:983.22,984.17,253.07,244.97
data:983.23,984.06,252.98,245.91
data:983.25,984.06,252.81,245.91
data:983.22,984.04,253.07,246.07
data:983.21,984.04,253.15,246.07
data:983.21,984.04,253.15,246.07
data:983.20,984.12,253.24,245.39
data:983.22,984.12,253.07,245.39
data:983.24,984.09,252.90,245.65
data:983.22,984.09,253.07,245.65
data:983.22,984.06,253.07,245.91
data:983.22,984.09,253.07,245.65
data:983.22,984.09,253.07,245.65
data:983.23,984.09,252.98,245.65
data:983.22,984.09,253.07,245.65
data:983.22,984.06,253.07,245.91
data:983.25,984.04,252.81,246.07
data:983.22,984.04,253.07,246.07
data:983.21,984.06,253.15,245.91
data:983.21,984.06,253.15,245.91
data:983.23,984.06,252.98,245.91
data:983.21,984.01,253.15,246.33
data:983.22,984.01,253.07,246.33
data:983.22,984.04,253.07,246.07
data:983.21,984.04,253.15,246.07
data:983.19,984.04,253.33,246.07
data:983.20,983.96,253.24,246.76
data:983.16,983.96,253.58,246.76
data:983.17,984.04,253.49,246.07
data:983.15,984.04,253.67,246.07
data:983.13,984.01,253.84,246.33
data:983.10,983.99,254.09,246.50
data:983.08,983.99,254.26,246.50
data:983.08,983.80,254.26,248.12
data:983.10,983.80,254.09,248.12
data:983.06,983.88,254.43,247.44
data:983.05,983.93,254.52,247.01
data:983.04,983.93,254.60,247.01
data:983.03,983.80,254.69,248.12
data:983.03,983.80,254.69,248.12
data:983.01,983.85,254.86,247.69
data:983.00,983.96,254.95,246.76
data:983.04,983.96,254.60,246.76
data:982.99,983.85,255.03,247.69
data:982.98,983.77,255.12,248.38
data:982.98,983.77,255.12,248.38
data:982.94,983.72,255.46,248.80
data:982.95,983.72,255.37,248.80
data:982.90,983.69,255.80,249.06
data:982.91,983.69,255.71,249.06
data:982.88,983.69,255.97,249.06
data:982.87,983.67,256.05,249.23
data:982.84,983.67,256.31,249.23
data:982.82,983.69,256.48,249.06
data:982.82,983.70,256.48,248.97
data:982.81,983.70,256.57,248.97
data:982.79,983.61,256.74,249.74
data:982.81,983.61,256.57,249.74
